customer_id,full_name,gender,age,segment,city,province,join_date
C100031,Customer 31,Male,73,Silver,Yogyakarta,Yogyakarta,2021-09-17
C100032,Customer 32,Male,52,Gold,Cimahi,West Java,2020-06-07
C100033,Customer 33,Female,69,Bronze,Tegal,Central Java,2020-06-09
C100034,Customer 34,Female,67,Priority,Tangerang,Banten,2023-07-01
C100035,Customer 35,Female,60,Silver,Madiun,East Java,2022-07-28
C100036,Customer 36,Male,38,Silver,Jakarta,Jakarta,2020-06-03
C100037,Customer 37,Male,41,Silver,Bandung,West Java,2021-04-30
C100038,Customer 38,Female,24,Gold,Malang,East Java,2021-03-07
C100039,Customer 39,Male,21,Bronze,Tegal,Central Java,2022-11-16
C100040,Customer 40,Male,49,Gold,Malang,East Java,2022-09-30
C100041,Customer 41,Male,66,Bronze,Makassar,Sulawesi,2022-11-01
C100042,Customer 42,Male,58,Gold,Jakarta,Jakarta,2020-03-07
C100043,Customer 43,Female,23,Priority,Denpasar,Bali,2021-06-25
C100044,Customer 44,Male,52,Bronze,Manado,Sulawesi,2020-04-05
C100045,Customer 45,Female,32,Gold,Surakarta,Central Java,2020-08-02
C100046,Customer 46,Male,39,Bronze,Madiun,East Java,2020-07-12
C100047,Customer 47,Female,73,Bronze,Pekanbaru,Sumatra,2023-08-06
C100048,Customer 48,Female,26,Priority,Jakarta,Jakarta,2022-06-03
C100049,Customer 49,Male,34,Bronze,Semarang,Central Java,2020-02-08
C100050,Customer 50,Female,42,Silver,Surakarta,Central Java,2022-07-27
C100051,Customer 51,Female,33,Bronze,Palembang,Sumatra,2022-07-27
C100052,Customer 52,Female,42,Gold,Pontianak,Kalimantan,2020-07-24
C100053,Customer 53,Female,38,Bronze,Denpasar,Bali,2022-07-30
C100054,Customer 54,Female,73,Priority,Bogor,West Java,2021-07-08
C100055,Customer 55,Female,48,Bronze,Serang,Banten,2021-04-28
C100056,Customer 56,Male,39,Bronze,Semarang,Central Java,2023-09-22
C100057,Customer 57,Male,48,Bronze,Malang,East Java,2022-02-09
C100058,Customer 58,Male,43,Bronze,Serang,Banten,2020-09-05
C100059,Customer 59,Male,37,Bronze,Tegal,Central Java,2023-01-02
C100060,Customer 60,Male,29,Bronze,Pekanbaru,Sumatra,2021-01-07
C100061,Customer 61,Male,60,Gold,Banjarmasin,Kalimantan,2022-05-28
C100062,Customer 62,Female,27,Silver,Jakarta,Jakarta,2022-04-14
C100063,Customer 63,Male,45,Silver,Jakarta,Jakarta,2022-05-20
C100064,Customer 64,Male,48,Silver,Bandung,West Java,2021-12-02
C100065,Customer 65,Female,29,Silver,Cimahi,West Java,2020-05-17
C100066,Customer 66,Male,36,Bronze,Bekasi,West Java,2022-08-05
C100067,Customer 67,Female,21,Gold,Jakarta,Jakarta,2021-04-01
C100068,Customer 68,Male,25,Bronze,Madiun,East Java,2022-03-24
C100069,Customer 69,Female,24,Gold,Bandung,West Java,2022-04-02
C100070,Customer 70,Female,47,Silver,Pontianak,Kalimantan,2022-07-30
C100071,Customer 71,Male,60,Bronze,Jakarta,Jakarta,2021-03-19
C100072,Customer 72,Male,24,Bronze,Jakarta,Jakarta,2020-12-18
C100073,Customer 73,Female,37,Bronze,Jakarta,Jakarta,2022-09-22
C100074,Customer 74,Female,45,Bronze,Denpasar,Bali,2022-03-04
C100075,Customer 75,Female,39,Gold,Cimahi,West Java,2021-02-14
C100076,Customer 76,Female,60,Bronze,Jakarta,Jakarta,2021-11-08
C100077,Customer 77,Male,68,Gold,Tegal,Central Java,2021-03-28
C100078,Customer 78,Male,46,Silver,Bogor,West Java,2021-02-22
C100079,Customer 79,Male,68,Silver,Pekanbaru,Sumatra,2021-03-25
C100080,Customer 80,Female,31,Priority,Pekanbaru,Sumatra,2022-09-21
C100081,Customer 81,Female,26,Silver,Madiun,East Java,2023-02-12
C100082,Customer 82,Male,22,Bronze,Malang,East Java,2020-02-20
C100083,Customer 83,Male,29,Bronze,Surakarta,Central Java,2023-10-24
C100084,Customer 84,Male,53,Silver,Denpasar,Bali,2020-07-28
C100085,Customer 85,Male,44,Priority,Jakarta,Jakarta,2022-06-06
C100086,Customer 86,Female,54,Gold,Jakarta,Jakarta,2022-09-24
C100087,Customer 87,Female,35,Silver,Semarang,Central Java,2022-09-19
C100088,Customer 88,Female,21,Bronze,Madiun,East Java,2022-04-29
C100089,Customer 89,Male,43,Gold,Jakarta,Jakarta,2021-09-18
C100090,Customer 90,Male,29,Bronze,Pekanbaru,Sumatra,2021-11-09
C100091,Customer 91,Female,57,Gold,Tegal,Central Java,2023-12-29
C100092,Customer 92,Female,41,Bronze,Surakarta,Central Java,2022-02-15
C100093,Customer 93,Female,45,Silver,Jakarta,Jakarta,2023-06-04
C100094,Customer 94,Female,62,Bronze,Madiun,East Java,2021-10-24
C100095,Customer 95,Male,74,Silver,Jakarta,Jakarta,2020-09-24
C100096,Customer 96,Female,58,Bronze,Serang,Banten,2020-04-25
C100097,Customer 97,Male,46,Gold,Medan,Sumatra,2022-01-23
C100098,Customer 98,Male,48,Gold,Yogyakarta,Yogyakarta,2023-10-15
C100099,Customer 99,Male,66,Bronze,Semarang,Central Java,2023-09-14
C100100,Customer 100,Male,57,Bronze,Banjarmasin,Kalimantan,2022-11-29
C100101,Customer 101,Female,39,Bronze,Bekasi,West Java,2020-06-30
C100102,Customer 102,Male,46,Bronze,Bandung,West Java,2023-05-17
C100103,Customer 103,Male,60,Bronze,Semarang,Central Java,2022-06-21
C100104,Customer 104,Female,73,Priority,Yogyakarta,Yogyakarta,2023-07-20
C100105,Customer 105,Male,39,Silver,Jakarta,Jakarta,2023-02-16
C100106,Customer 106,Male,63,Silver,Pekanbaru,Sumatra,2023-11-06
C100107,Customer 107,Female,38,Bronze,Jakarta,Jakarta,2022-08-03
C100108,Customer 108,Male,39,Silver,Palembang,Sumatra,2020-09-14
C100109,Customer 109,Male,54,Gold,Serang,Banten,2021-05-23
C100110,Customer 110,Male,66,Bronze,Jakarta,Jakarta,2020-04-01
C100111,Customer 111,Male,21,Bronze,Jakarta,Jakarta,2023-03-30
C100112,Customer 112,Female,49,Silver,Bandung,West Java,2020-05-28
C100113,Customer 113,Female,72,Gold,Semarang,Central Java,2020-04-26
C100114,Customer 114,Female,53,Gold,Jakarta,Jakarta,2021-04-02
C100115,Customer 115,Female,41,Silver,Semarang,Central Java,2021-07-18
C100116,Customer 116,Female,22,Silver,Tegal,Central Java,2022-03-24
C100117,Customer 117,Male,25,Bronze,Jakarta,Jakarta,2020-02-14
C100118,Customer 118,Female,34,Bronze,Jakarta,Jakarta,2022-02-12
C100119,Customer 119,Female,46,Bronze,Manado,Sulawesi,2020-08-21
C100120,Customer 120,Female,29,Silver,Denpasar,Bali,2023-10-30
C100121,Customer 121,Female,28,Bronze,Jakarta,Jakarta,2020-07-15
C100122,Customer 122,Male,52,Silver,Denpasar,Bali,2020-01-25
C100123,Customer 123,Male,51,Silver,Jakarta,Jakarta,2021-01-29
C100124,Customer 124,Male,67,Bronze,Jakarta,Jakarta,2021-12-14
C100125,Customer 125,Male,25,Gold,Serang,Banten,2022-11-25
C100126,Customer 126,Female,60,Gold,Madiun,East Java,2020-08-10
C100127,Customer 127,Female,55,Bronze,Bekasi,West Java,2022-05-13
C100128,Customer 128,Male,21,Silver,Jakarta,Jakarta,2021-06-13
C100129,Customer 129,Male,48,Bronze,Bandung,West Java,2023-04-26
C100130,Customer 130,Male,23,Priority,Cimahi,West Java,2023-11-26
C100131,Customer 131,Male,20,Bronze,Jakarta,Jakarta,2020-09-13
C100132,Customer 132,Male,38,Silver,Malang,East Java,2021-10-15
C100133,Customer 133,Male,45,Priority,Pontianak,Kalimantan,2023-03-05
C100134,Customer 134,Female,44,Bronze,Jakarta,Jakarta,2021-08-13
C100135,Customer 135,Male,29,Silver,Pontianak,Kalimantan,2021-03-19
C100136,Customer 136,Male,72,Silver,Denpasar,Bali,2021-02-21
C100137,Customer 137,Female,34,Gold,Serang,Banten,2023-08-08
C100138,Customer 138,Male,41,Gold,Denpasar,Bali,2021-07-27
C100139,Customer 139,Female,70,Silver,Bekasi,West Java,2020-05-08
C100140,Customer 140,Female,67,Gold,Jakarta,Jakarta,2022-10-07
C100141,Customer 141,Male,40,Bronze,Malang,East Java,2020-12-06
C100142,Customer 142,Male,41,Priority,Pontianak,Kalimantan,2022-03-20
C100143,Customer 143,Male,55,Silver,Pontianak,Kalimantan,2023-07-04
C100144,Customer 144,Male,53,Gold,Palembang,Sumatra,2022-09-18
C100145,Customer 145,Male,49,Silver,Bogor,West Java,2020-04-09
C100146,Customer 146,Female,44,Bronze,Pontianak,Kalimantan,2020-02-08
C100147,Customer 147,Male,64,Gold,Bekasi,West Java,2020-09-19
C100148,Customer 148,Male,47,Bronze,Semarang,Central Java,2020-05-29
C100149,Customer 149,Male,20,Silver,Jakarta,Jakarta,2021-11-20
C100150,Customer 150,Female,68,Bronze,Jakarta,Jakarta,2022-03-23
C100151,Customer 151,Male,64,Bronze,Serang,Banten,2023-09-15
C100152,Customer 152,Male,23,Bronze,Surakarta,Central Java,2023-02-17
C100153,Customer 153,Male,26,Bronze,Bogor,West Java,2020-08-06
C100154,Customer 154,Female,68,Bronze,Denpasar,Bali,2022-06-24
C100155,Customer 155,Male,28,Gold,Jakarta,Jakarta,2023-02-20
C100156,Customer 156,Female,55,Gold,Pontianak,Kalimantan,2020-08-31
C100157,Customer 157,Female,38,Bronze,Pontianak,Kalimantan,2022-06-04
C100158,Customer 158,Male,20,Silver,Makassar,Sulawesi,2021-08-09
C100159,Customer 159,Female,29,Silver,Jakarta,Jakarta,2021-06-01
C100160,Customer 160,Male,55,Bronze,Bogor,West Java,2022-11-10
C100161,Customer 161,Female,28,Silver,Bandung,West Java,2020-07-08
C100162,Customer 162,Female,64,Bronze,Pekanbaru,Sumatra,2023-06-02
C100163,Customer 163,Female,65,Bronze,Cimahi,West Java,2022-07-03
C100164,Customer 164,Male,61,Bronze,Semarang,Central Java,2021-09-06
C100165,Customer 165,Female,51,Bronze,Pekanbaru,Sumatra,2022-05-05
C100166,Customer 166,Male,51,Priority,Cimahi,West Java,2021-04-10
C100167,Customer 167,Male,25,Silver,Medan,Sumatra,2020-04-08
C100168,Customer 168,Male,67,Silver,Serang,Banten,2022-04-09
C100169,Customer 169,Female,57,Silver,Bogor,West Java,2023-10-18
C100170,Customer 170,Female,36,Bronze,Malang,East Java,2022-09-23
C100171,Customer 171,Male,29,Bronze,Cimahi,West Java,2023-01-11
C100172,Customer 172,Male,69,Silver,Bekasi,West Java,2020-02-25
C100173,Customer 173,Male,46,Silver,Banjarmasin,Kalimantan,2022-11-11
C100174,Customer 174,Female,73,Bronze,Tangerang,Banten,2021-08-02
C100175,Customer 175,Male,69,Silver,Serang,Banten,2020-07-03
C100176,Customer 176,Female,54,Silver,Yogyakarta,Yogyakarta,2021-06-05
C100177,Customer 177,Male,71,Silver,Jakarta,Jakarta,2020-09-20
C100178,Customer 178,Female,40,Bronze,Semarang,Central Java,2023-06-02
C100179,Customer 179,Male,44,Bronze,Jakarta,Jakarta,2022-11-27
C100180,Customer 180,Male,47,Bronze,Denpasar,Bali,2022-09-29
C100181,Customer 181,Male,66,Bronze,Jakarta,Jakarta,2020-05-02
C100182,Customer 182,Female,34,Silver,Denpasar,Bali,2023-03-25
C100183,Customer 183,Female,23,Silver,Pekanbaru,Sumatra,2020-10-27
C100184,Customer 184,Male,48,Bronze,Madiun,East Java,2022-04-12
C100185,Customer 185,Female,28,Silver,Bogor,West Java,2022-12-26
C100186,Customer 186,Female,46,Bronze,Malang,East Java,2021-10-06
C100187,Customer 187,Female,45,Bronze,Tangerang,Banten,2022-05-23
C100188,Customer 188,Female,38,Bronze,Tegal,Central Java,2021-01-28
C100189,Customer 189,Male,47,Bronze,Bogor,West Java,2021-10-22
C100190,Customer 190,Male,36,Bronze,Tegal,Central Java,2023-11-29
C100191,Customer 191,Female,62,Bronze,Semarang,Central Java,2023-02-28
C100192,Customer 192,Female,60,Silver,Jakarta,Jakarta,2020-03-09
C100193,Customer 193,Female,61,Priority,Pekanbaru,Sumatra,2023-09-30
C100194,Customer 194,Male,69,Silver,Palembang,Sumatra,2022-01-31
C100195,Customer 195,Male,39,Bronze,Bandung,West Java,2020-11-15
C100196,Customer 196,Female,64,Silver,Jakarta,Jakarta,2020-06-25
C100197,Customer 197,Female,59,Bronze,Palembang,Sumatra,2021-08-06
C100198,Customer 198,Female,58,Silver,Pekanbaru,Sumatra,2023-03-29
C100199,Customer 199,Female,68,Bronze,Pekanbaru,Sumatra,2021-08-04
C100200,Customer 200,Female,72,Gold,Yogyakarta,Yogyakarta,2023-03-04
C100201,Customer 201,Male,42,Bronze,Yogyakarta,Yogyakarta,2020-04-20
C100202,Customer 202,Male,66,Bronze,Bogor,West Java,2022-09-25
C100203,Customer 203,Female,51,Silver,Pontianak,Kalimantan,2022-01-27
C100204,Customer 204,Female,71,Silver,Surakarta,Central Java,2020-10-09
C100205,Customer 205,Male,66,Bronze,Pekanbaru,Sumatra,2020-07-12
C100206,Customer 206,Male,52,Silver,Jakarta,Jakarta,2022-08-24
C100207,Customer 207,Female,65,Silver,Pontianak,Kalimantan,2022-12-06
C100208,Customer 208,Male,24,Bronze,Tegal,Central Java,2022-09-04
C100209,Customer 209,Male,62,Bronze,Jakarta,Jakarta,2020-12-07
C100210,Customer 210,Female,67,Bronze,Yogyakarta,Yogyakarta,2023-06-19
C100211,Customer 211,Female,53,Silver,Serang,Banten,2021-06-05
C100212,Customer 212,Female,59,Silver,Pekanbaru,Sumatra,2023-10-25
C100213,Customer 213,Male,30,Bronze,Cimahi,West Java,2022-03-11
C100214,Customer 214,Female,69,Bronze,Denpasar,Bali,2022-06-21
C100215,Customer 215,Male,22,Bronze,Bekasi,West Java,2020-05-10
C100216,Customer 216,Male,52,Silver,Denpasar,Bali,2023-07-17
C100217,Customer 217,Female,30,Silver,Bogor,West Java,2022-03-24
C100218,Customer 218,Female,35,Gold,Semarang,Central Java,2020-03-01
C100219,Customer 219,Female,37,Silver,Yogyakarta,Yogyakarta,2020-06-12
C100220,Customer 220,Female,49,Priority,Jakarta,Jakarta,2020-09-28
C100221,Customer 221,Female,67,Priority,Semarang,Central Java,2020-05-12
C100222,Customer 222,Male,74,Bronze,Palembang,Sumatra,2023-06-21
C100223,Customer 223,Male,29,Silver,Bekasi,West Java,2022-09-24
C100224,Customer 224,Male,37,Bronze,Surakarta,Central Java,2023-12-28
C100225,Customer 225,Male,57,Bronze,Jakarta,Jakarta,2020-02-07
C100226,Customer 226,Female,38,Bronze,Bandung,West Java,2023-09-04
C100227,Customer 227,Male,55,Gold,Bogor,West Java,2023-10-31
C100228,Customer 228,Female,32,Bronze,Tangerang,Banten,2021-09-08
C100229,Customer 229,Female,65,Bronze,Bandung,West Java,2021-04-18
C100230,Customer 230,Female,22,Bronze,Makassar,Sulawesi,2020-02-28
C100231,Customer 231,Male,29,Bronze,Jakarta,Jakarta,2021-08-11
C100232,Customer 232,Female,57,Bronze,Cimahi,West Java,2021-05-13
C100233,Customer 233,Male,20,Bronze,Banjarmasin,Kalimantan,2023-05-26
C100234,Customer 234,Male,74,Silver,Denpasar,Bali,2021-07-20
C100235,Customer 235,Female,46,Bronze,Makassar,Sulawesi,2021-07-20
C100236,Customer 236,Male,65,Priority,Palembang,Sumatra,2023-02-26
C100237,Customer 237,Male,27,Bronze,Banjarmasin,Kalimantan,2022-06-22
C100238,Customer 238,Female,70,Gold,Bandung,West Java,2021-01-17
C100239,Customer 239,Male,65,Silver,Yogyakarta,Yogyakarta,2023-11-12
C100240,Customer 240,Female,61,Bronze,Surabaya,East Java,2020-03-25
C100241,Customer 241,Female,36,Bronze,Banjarmasin,Kalimantan,2021-09-18
C100242,Customer 242,Female,28,Silver,Jakarta,Jakarta,2022-04-05
C100243,Customer 243,Male,25,Silver,Semarang,Central Java,2020-10-19
C100244,Customer 244,Male,62,Bronze,Bogor,West Java,2022-12-08
C100245,Customer 245,Female,44,Silver,Yogyakarta,Yogyakarta,2022-12-26
C100246,Customer 246,Male,58,Bronze,Tegal,Central Java,2022-02-25
C100247,Customer 247,Female,68,Gold,Pekanbaru,Sumatra,2020-05-08
C100248,Customer 248,Female,47,Bronze,Yogyakarta,Yogyakarta,2020-01-29
C100249,Customer 249,Female,52,Bronze,Surakarta,Central Java,2023-09-28
C100250,Customer 250,Male,73,Gold,Denpasar,Bali,2023-02-16
C100251,Customer 251,Male,56,Silver,Tangerang,Banten,2021-11-22
C100252,Customer 252,Female,28,Gold,Bekasi,West Java,2020-05-12
C100253,Customer 253,Male,37,Bronze,Jakarta,Jakarta,2023-09-12
C100254,Customer 254,Male,40,Bronze,Tegal,Central Java,2023-04-23
C100255,Customer 255,Female,21,Bronze,Medan,Sumatra,2021-10-07
C100256,Customer 256,Female,62,Gold,Cimahi,West Java,2021-11-19
C100257,Customer 257,Female,57,Silver,Malang,East Java,2021-06-17
C100258,Customer 258,Female,59,Priority,Yogyakarta,Yogyakarta,2023-06-18
C100259,Customer 259,Male,55,Silver,Denpasar,Bali,2021-05-30
C100260,Customer 260,Female,69,Bronze,Yogyakarta,Yogyakarta,2022-08-17
C100261,Customer 261,Female,62,Bronze,Jakarta,Jakarta,2020-06-13
C100262,Customer 262,Male,56,Bronze,Bogor,West Java,2022-07-15
C100263,Customer 263,Male,34,Silver,Jakarta,Jakarta,2022-07-21
C100264,Customer 264,Female,47,Bronze,Makassar,Sulawesi,2021-07-10
C100265,Customer 265,Female,37,Bronze,Jakarta,Jakarta,2023-05-26
C100266,Customer 266,Female,53,Bronze,Malang,East Java,2021-11-10
C100267,Customer 267,Female,41,Bronze,Malang,East Java,2022-09-19
C100268,Customer 268,Male,30,Silver,Cimahi,West Java,2022-10-25
C100269,Customer 269,Male,32,Priority,Jakarta,Jakarta,2022-01-26
C100270,Customer 270,Female,23,Bronze,Bandung,West Java,2023-01-09
C100271,Customer 271,Female,41,Gold,Yogyakarta,Yogyakarta,2023-06-24
C100272,Customer 272,Female,26,Silver,Malang,East Java,2022-05-04
C100273,Customer 273,Female,62,Bronze,Pontianak,Kalimantan,2021-05-07
C100274,Customer 274,Male,73,Bronze,Serang,Banten,2021-10-10
C100275,Customer 275,Male,43,Bronze,Jakarta,Jakarta,2023-11-10
C100276,Customer 276,Female,23,Gold,Surabaya,East Java,2022-09-18
C100277,Customer 277,Female,47,Silver,Jakarta,Jakarta,2023-08-23
C100278,Customer 278,Female,34,Bronze,Cimahi,West Java,2021-09-19
C100279,Customer 279,Female,20,Bronze,Pekanbaru,Sumatra,2021-09-16
C100280,Customer 280,Female,74,Bronze,Bekasi,West Java,2021-06-26
C100281,Customer 281,Male,22,Bronze,Denpasar,Bali,2020-01-07
C100282,Customer 282,Male,33,Bronze,Jakarta,Jakarta,2022-08-11
C100283,Customer 283,Male,57,Bronze,Banjarmasin,Kalimantan,2021-05-29
C100284,Customer 284,Female,69,Gold,Pekanbaru,Sumatra,2022-01-24
C100285,Customer 285,Male,20,Bronze,Tangerang,Banten,2020-03-13
C100286,Customer 286,Male,57,Bronze,Jakarta,Jakarta,2020-01-10
C100287,Customer 287,Female,57,Bronze,Denpasar,Bali,2021-07-15
C100288,Customer 288,Male,40,Silver,Madiun,East Java,2020-05-01
C100289,Customer 289,Female,67,Bronze,Jakarta,Jakarta,2021-11-17
C100290,Customer 290,Male,48,Silver,Semarang,Central Java,2021-05-27
C100291,Customer 291,Male,24,Bronze,Manado,Sulawesi,2022-09-16
C100292,Customer 292,Female,68,Gold,Bekasi,West Java,2021-03-16
C100293,Customer 293,Male,29,Bronze,Palembang,Sumatra,2022-11-27
C100294,Customer 294,Male,47,Gold,Tegal,Central Java,2021-12-02
C100295,Customer 295,Female,40,Gold,Malang,East Java,2021-08-13
C100296,Customer 296,Female,69,Silver,Jakarta,Jakarta,2023-09-30
C100297,Customer 297,Male,26,Bronze,Bekasi,West Java,2023-09-23
C100298,Customer 298,Female,22,Silver,Denpasar,Bali,2023-04-22
C100299,Customer 299,Male,64,Silver,Cimahi,West Java,2020-03-07
C100300,Customer 300,Male,66,Bronze,Jakarta,Jakarta,2020-01-17
C100301,Customer 301,Female,39,Silver,Jakarta,Jakarta,2023-11-07
C100302,Customer 302,Female,38,Bronze,Jakarta,Jakarta,2021-01-02
C100303,Customer 303,Female,54,Bronze,Banjarmasin,Kalimantan,2022-06-22
C100304,Customer 304,Female,23,Bronze,Jakarta,Jakarta,2023-09-01
C100305,Customer 305,Female,24,Silver,Jakarta,Jakarta,2021-12-21
C100306,Customer 306,Male,20,Bronze,Yogyakarta,Yogyakarta,2023-09-30
C100307,Customer 307,Male,23,Priority,Bandung,West Java,2022-08-15
C100308,Customer 308,Female,31,Silver,Surabaya,East Java,2022-06-26
C100309,Customer 309,Male,46,Silver,Manado,Sulawesi,2022-09-15
C100310,Customer 310,Male,61,Bronze,Bekasi,West Java,2021-04-17
C100311,Customer 311,Male,42,Priority,Pontianak,Kalimantan,2020-04-24
C100312,Customer 312,Male,44,Bronze,Tangerang,Banten,2020-04-09
C100313,Customer 313,Female,40,Bronze,Bandung,West Java,2021-03-13
C100314,Customer 314,Female,71,Silver,Cimahi,West Java,2023-09-30
C100315,Customer 315,Female,43,Gold,Denpasar,Bali,2020-12-14
C100316,Customer 316,Male,44,Bronze,Cimahi,West Java,2020-05-18
C100317,Customer 317,Male,64,Bronze,Malang,East Java,2022-04-07
C100318,Customer 318,Male,74,Bronze,Jakarta,Jakarta,2020-11-19
C100319,Customer 319,Male,65,Silver,Makassar,Sulawesi,2022-04-25
C100320,Customer 320,Female,51,Silver,Bandung,West Java,2023-08-18
C100321,Customer 321,Female,74,Silver,Medan,Sumatra,2020-10-20
C100322,Customer 322,Female,51,Priority,Jakarta,Jakarta,2022-08-25
C100323,Customer 323,Male,24,Gold,Jakarta,Jakarta,2023-08-08
C100324,Customer 324,Female,55,Bronze,Bogor,West Java,2020-03-14
C100325,Customer 325,Female,65,Silver,Pekanbaru,Sumatra,2021-04-28
C100326,Customer 326,Female,61,Gold,Medan,Sumatra,2020-01-16
C100327,Customer 327,Female,68,Bronze,Banjarmasin,Kalimantan,2023-09-21
C100328,Customer 328,Male,61,Bronze,Cimahi,West Java,2022-03-03
C100329,Customer 329,Male,58,Priority,Jakarta,Jakarta,2021-05-30
C100330,Customer 330,Male,35,Bronze,Serang,Banten,2022-07-13
C100331,Customer 331,Female,52,Gold,Bogor,West Java,2023-02-24
C100332,Customer 332,Male,68,Priority,Makassar,Sulawesi,2022-04-03
C100333,Customer 333,Male,40,Priority,Jakarta,Jakarta,2021-06-01
C100334,Customer 334,Male,28,Bronze,Jakarta,Jakarta,2020-05-08
C100335,Customer 335,Male,25,Gold,Pontianak,Kalimantan,2021-05-25
C100336,Customer 336,Female,70,Priority,Jakarta,Jakarta,2021-02-26
C100337,Customer 337,Female,64,Silver,Madiun,East Java,2021-01-19
C100338,Customer 338,Male,54,Bronze,Jakarta,Jakarta,2020-08-19
C100339,Customer 339,Male,58,Silver,Malang,East Java,2022-08-16
C100340,Customer 340,Male,41,Silver,Jakarta,Jakarta,2022-04-04
C100341,Customer 341,Male,60,Priority,Bekasi,West Java,2023-05-03
C100342,Customer 342,Male,73,Silver,Medan,Sumatra,2020-03-05
C100343,Customer 343,Male,24,Bronze,Jakarta,Jakarta,2022-04-12
C100344,Customer 344,Male,61,Bronze,Semarang,Central Java,2021-09-06
C100345,Customer 345,Female,42,Silver,Serang,Banten,2023-07-24
C100346,Customer 346,Female,36,Silver,Jakarta,Jakarta,2023-06-01
C100347,Customer 347,Male,31,Gold,Jakarta,Jakarta,2022-03-11
C100348,Customer 348,Male,42,Silver,Jakarta,Jakarta,2020-10-04
C100349,Customer 349,Female,35,Gold,Cimahi,West Java,2020-12-31
C100350,Customer 350,Male,22,Bronze,Jakarta,Jakarta,2021-05-30
C100351,Customer 351,Female,49,Bronze,Surakarta,Central Java,2023-05-23
C100352,Customer 352,Female,41,Bronze,Serang,Banten,2021-03-14
C100353,Customer 353,Male,28,Bronze,Bandung,West Java,2021-03-03
C100354,Customer 354,Male,48,Bronze,Jakarta,Jakarta,2021-12-29
C100355,Customer 355,Female,66,Bronze,Tegal,Central Java,2021-01-30
C100356,Customer 356,Male,56,Silver,Manado,Sulawesi,2023-05-17
C100357,Customer 357,Female,42,Bronze,Tangerang,Banten,2021-08-08
C100358,Customer 358,Female,32,Silver,Denpasar,Bali,2023-06-04
C100359,Customer 359,Female,51,Silver,Surakarta,Central Java,2021-01-09
C100360,Customer 360,Male,65,Bronze,Jakarta,Jakarta,2022-08-05
C100361,Customer 361,Female,71,Silver,Jakarta,Jakarta,2020-04-02
C100362,Customer 362,Male,66,Silver,Jakarta,Jakarta,2020-11-16
C100363,Customer 363,Female,67,Bronze,Bandung,West Java,2022-10-30
C100364,Customer 364,Female,42,Priority,Jakarta,Jakarta,2022-07-02
C100365,Customer 365,Male,64,Silver,Jakarta,Jakarta,2023-08-19
C100366,Customer 366,Female,36,Bronze,Pekanbaru,Sumatra,2023-09-07
C100367,Customer 367,Female,74,Bronze,Pekanbaru,Sumatra,2023-07-25
C100368,Customer 368,Male,59,Bronze,Surabaya,East Java,2023-11-17
C100369,Customer 369,Male,40,Silver,Madiun,East Java,2022-07-05
C100370,Customer 370,Male,21,Silver,Jakarta,Jakarta,2020-04-04
C100371,Customer 371,Male,56,Bronze,Pekanbaru,Sumatra,2022-08-16
