transaction_id,transaction_date,customer_id,product_id,quantity,transaction_unit_price,amount,transaction_channel,campaign_id,calc_amount,amount_diff,amount_calc,amount_category,full_name,gender,age,segment,city,province,join_date,product_name,category,brand,product_price,cost,campaign_name,campaign_channel,start_date,end_date,month,region,spend,impressions,clicks,conversions,sales_target,year,month_num,year_month,cost_total,gross_profit,profit_margin,is_campaign
T100013,2024-12-06,C100330,P1083,4,843800.0,3375200.0,Branch,CAM229,3375200.0,-33.0,3375200.0,Exact,Customer 330,Male,35,Bronze,Serang,Banten,2022-07-13,Product 83,Insurance,Standard,896700.0,54000.0,Campaign 29,Affiliate,2024-01-08,2024-04-26,2024-12-01,Java,,,,,,2024,12,2024-12,216000.0,3321200.0,0.9360037923678597,True
T100014,2024-04-02,C102407,P1045,2,318300.0,636600.0,Mobile,No Campaign,636600.0,-51.0,636600.0,Exact,Customer 2407,Male,51,Priority,Surakarta,Central Java,2022-02-07,Product 45,Loans,Standard,337100.0,390300.0,,,,,2024-04-01,Java,,,,,,2024,4,2024-04,780600.0,246300.0,-0.22620169651272384,False
T100015,2024-10-01,C100870,P1131,6,1675200.0,10051200.0,Agent,CAM215,10051200.0,-67.0,10051200.0,Exact,Customer 870,Male,38,Bronze,Tangerang,Banten,2022-01-09,Product 131,Payments,Premium,1687000.0,1902400.0,Campaign 15,Affiliate,2023-02-17,2023-07-13,2024-10-01,Java,,,,,,2024,10,2024-10,11414400.0,8148800.0,-0.1356255969436485,True
T100016,2023-08-01,C101463,P1138,1,128700.0,128700.0,Branch,CAM236,128700.0,31.0,128700.0,Exact,Customer 1463,Female,35,Bronze,Tegal,Central Java,2021-04-10,Product 138,Deposits,Business,178000.0,1042700.0,Campaign 36,Social,2024-08-03,2024-11-23,2023-08-01,Java,,,,,,2023,8,2023-08,1042700.0,-914000.0,-7.101787101787102,True
T100017,2024-10-24,C102149,P1057,1,2207400.0,2207400.0,Mobile,CAM217,2207400.0,34.0,2207400.0,Exact,Customer 2149,Female,61,Bronze,Makassar,Sulawesi,2022-12-19,Product 57,Insurance,Premium,1756600.0,352800.0,Campaign 17,Search,2023-08-14,2023-10-01,2024-10-01,Sulawesi,212123426.0,5985281919.0,605380686.0,85804315.0,609601134.0,2024,10,2024-10,352800.0,1854600.0,0.8401739603153031,True
T100018,2024-04-25,C100376,P1038,2,528500.0,1057000.0,Mobile,CAM213,1057000.0,100.0,1057000.0,Exact,Customer 376,Female,41,Bronze,Jakarta,Jakarta,2022-08-26,Product 38,Insurance,Business,439700.0,249100.0,Campaign 13,Social,2023-07-10,2023-12-22,2024-04-01,Jakarta,169462030.0,5054697572.0,614340034.0,47887605.0,351631337.0,2024,4,2024-04,498200.0,807900.0,0.5286660359508042,True
T100019,2023-06-29,C101279,P1141,3,4152800.0,12458400.0,Branch,No Campaign,12458400.0,-54.0,12458400.0,Exact,Customer 1279,Male,68,Bronze,Tegal,Central Java,2021-10-07,Product 141,Loans,Premium,4222600.0,618600.0,,,,,2023-06-01,Java,,,,,,2023,6,2023-06,1855800.0,11839800.0,0.8510402619919091,False
T100020,2024-06-21,C102636,P1031,1,1582400.0,1582400.0,Mobile,No Campaign,1582400.0,33.0,1582400.0,Exact,Customer 2636,Female,37,Silver,Bogor,West Java,2020-02-17,Product 31,Loans,Standard,1553100.0,1826200.0,,,,,2024-06-01,Java,,,,,,2024,6,2024-06,1826200.0,-243800.0,-0.15406976744186046,False
T100021,2024-06-10,C102821,P1122,1,1496300.0,1496300.0,Mobile,CAM221,1496300.0,19.0,1496300.0,Exact,Customer 2821,Male,20,Bronze,Jakarta,Jakarta,2020-08-03,Product 122,Insurance,Premium,1215800.0,550700.0,Campaign 21,Search,2023-11-24,2024-05-08,2024-06-01,Jakarta,87113556.0,2248081386.0,80614452.0,7761914.0,262104567.0,2024,6,2024-06,550700.0,945600.0,0.6319588317850698,True
T100022,2023-01-22,C100821,P1109,2,2630600.0,5261200.0,Branch,CAM238,5261200.0,74.0,5261200.0,Exact,Customer 821,Male,41,Silver,Denpasar,Bali,2023-01-10,Product 109,Loans,Premium,2122400.0,1313500.0,Campaign 38,Social,2023-04-06,2023-07-22,2023-01-01,Bali,,,,,562646074.0,2023,1,2023-01,2627000.0,3947700.0,0.5006842545426898,True
T100023,2023-12-11,C100001,P1110,2,3727100.0,7454200.0,Internet,CAM222,7454200.0,44.0,7454200.0,Exact,Customer 1,Female,56,Bronze,Jakarta,Jakarta,2022-10-07,Product 110,Loans,Business,4412400.0,641900.0,Campaign 22,Social,2023-06-29,2023-09-22,2023-12-01,Jakarta,179972705.0,3208090669.0,238529367.0,20565684.0,100194789.0,2023,12,2023-12,1283800.0,6812300.0,0.8277749456682139,True
T100024,2024-07-30,C101863,P1045,1,292500.0,292500.0,Internet,No Campaign,292500.0,44.0,292500.0,Exact,Customer 1863,Female,73,Silver,Bekasi,West Java,2020-07-31,Product 45,Loans,Standard,337100.0,390300.0,,,,,2024-07-01,Java,,,,,,2024,7,2024-07,390300.0,-97800.0,-0.3343589743589744,False
T100025,2023-01-21,C101882,P1103,4,2936700.0,11746800.0,Internet,No Campaign,11746800.0,131.0,11746800.0,Exact,Customer 1882,Female,37,Bronze,Tegal,Central Java,2022-03-19,Product 103,Payments,Premium,2742700.0,298800.0,,,,,2023-01-01,Java,,,,,,2023,1,2023-01,1195200.0,11448000.0,0.8982531412810297,False
T100026,2024-02-12,C100127,P1129,1,3361600.0,3361600.0,Mobile,No Campaign,3361600.0,-30.0,3361600.0,Exact,Customer 127,Female,55,Bronze,Bekasi,West Java,2022-05-13,Product 129,Wealth,Business,3770700.0,839700.0,,,,,2024-02-01,Java,,,,,,2024,2,2024-02,839700.0,2521900.0,0.7502082341742028,False
T100027,2024-05-01,C101973,P1062,6,2831200.0,16987200.0,Branch,No Campaign,16987200.0,-31.0,16987200.0,Exact,Customer 1973,Male,74,Silver,Tegal,Central Java,2020-01-18,Product 62,Loans,Premium,2302700.0,241500.0,,,,,2024-05-01,Java,,,,,,2024,5,2024-05,1449000.0,16745700.0,0.914700480361684,False
T100028,2024-06-11,C101478,P1104,1,2908200.0,2908200.0,Internet,No Campaign,2908200.0,42.0,2908200.0,Exact,Customer 1478,Female,34,Bronze,Jakarta,Jakarta,2020-12-29,Product 104,Deposits,Premium,2599500.0,898600.0,,,,,2024-06-01,Jakarta,87113556.0,2248081386.0,80614452.0,7761914.0,262104567.0,2024,6,2024-06,898600.0,2009600.0,0.6910116223093322,False
T100029,2024-02-20,C100942,P1044,2,2021000.0,4042000.0,Mobile,CAM209,4042000.0,34.0,4042000.0,Exact,Customer 942,Female,74,Silver,Semarang,Central Java,2020-10-26,Product 44,Wealth,Standard,2244400.0,707600.0,Campaign 9,Search,2024-09-15,2025-01-28,2024-02-01,Java,,,,,,2024,2,2024-02,1415200.0,3334400.0,0.6498762988619495,True
T100030,2023-09-29,C102399,P1130,5,3947900.0,19739500.0,Internet,CAM238,19739500.0,10.0,19739500.0,Exact,Customer 2399,Female,32,Silver,Palembang,Sumatra,2021-06-18,Product 130,Deposits,Standard,3770300.0,611700.0,Campaign 38,Social,2023-04-06,2023-07-22,2023-09-01,Sumatra,116567644.0,3090128630.0,252036885.0,29059949.0,279173975.0,2023,9,2023-09,3058500.0,19127800.0,0.8450568656754224,True
T100031,2023-07-24,C102089,P1099,2,197600.0,395200.0,Call Center,CAM203,395200.0,-89.0,395200.0,Exact,Customer 2089,Male,45,Silver,Cimahi,West Java,2023-12-02,Product 99,Loans,Standard,226900.0,1798500.0,Campaign 3,Display,2024-09-28,2025-02-14,2023-07-01,Java,,,,,,2023,7,2023-07,3597000.0,-1403300.0,-8.101720647773279,True
T100032,2023-10-25,C101378,P1038,1,510500.0,510500.0,Branch,CAM224,510500.0,-5.0,510500.0,Exact,Customer 1378,Male,27,Silver,Jakarta,Jakarta,2023-05-02,Product 38,Insurance,Business,439700.0,249100.0,Campaign 24,Email,2023-01-23,2023-07-14,2023-10-01,Jakarta,142323196.0,2646154234.0,202014981.0,24592784.0,71081903.0,2023,10,2023-10,249100.0,261400.0,0.5120470127326151,True
T100033,2024-11-02,C100258,P1069,3,2078700.0,6236100.0,Mobile,CAM223,6236100.0,28593551.0,6236100.0,Very Over,Customer 258,Female,59,Priority,Yogyakarta,Yogyakarta,2023-06-18,Product 69,Payments,Standard,1988600.0,286700.0,Campaign 23,Email,2024-10-26,2025-02-13,2024-11-01,Java,,,,,,2024,11,2024-11,860100.0,5949400.0,0.8620772598258527,True
T100034,2024-07-06,C101233,P1020,3,3225000.0,9675000.0,Agent,No Campaign,9675000.0,-150.0,9675000.0,Exact,Customer 1233,Male,22,Bronze,Jakarta,Jakarta,2023-01-16,Product 20,Wealth,Standard,3888800.0,1840700.0,,,,,2024-07-01,Jakarta,153040456.0,3801469088.0,285526564.0,44122135.0,364065917.0,2024,7,2024-07,5522100.0,7834300.0,0.4292403100775194,False
T100035,2023-04-18,C100036,P1068,3,2096200.0,6288600.0,Internet,CAM214,6288600.0,-59.0,6288600.0,Exact,Customer 36,Male,38,Silver,Jakarta,Jakarta,2020-06-03,Product 68,Cards,Standard,1813700.0,1721400.0,Campaign 14,Social,2024-06-24,2024-11-11,2023-04-01,Jakarta,76673349.0,1307977995.0,149099546.0,7193673.0,77131196.0,2023,4,2023-04,5164200.0,4567200.0,0.1787997328499189,True
T100036,2024-09-28,C102069,P1125,3,1704700.0,5114100.0,Mobile,CAM230,5114100.0,-80.0,5114100.0,Exact,Customer 2069,Male,25,Silver,Jakarta,Jakarta,2020-01-28,Product 125,Deposits,Premium,1627600.0,1901900.0,Campaign 30,Search,2023-10-12,2024-03-10,2024-09-01,Jakarta,99642335.0,2941623190.0,202626134.0,13097986.0,249879224.0,2024,9,2024-09,5705700.0,3212200.0,-0.11568017833049804,True
T100037,2023-06-01,C101184,P1025,5,681100.0,3405500.0,Mobile,No Campaign,3405500.0,104.0,3405500.0,Exact,Customer 1184,Male,74,Priority,Jakarta,Jakarta,2021-07-28,Product 25,Cards,Business,577700.0,684200.0,,,,,2023-06-01,Jakarta,146157206.0,3890206227.0,269503979.0,25940515.0,284465844.0,2023,6,2023-06,3421000.0,2721300.0,-0.004551460872118632,False
T100038,2023-01-13,C101765,P1118,1,606900.0,606900.0,Mobile,No Campaign,606900.0,-1.0,606900.0,Exact,Customer 1765,Male,50,Gold,Manado,Sulawesi,2023-10-15,Product 118,Payments,Premium,571200.0,641400.0,,,,,2023-01-01,Sulawesi,,,,,131941283.0,2023,1,2023-01,641400.0,-34500.0,-0.056846267918932276,False
T100039,2024-12-15,C102406,P1044,2,2535200.0,5070400.0,Branch,No Campaign,5070400.0,-60.0,5070400.0,Exact,Customer 2406,Male,46,Bronze,Bekasi,West Java,2023-03-23,Product 44,Wealth,Standard,2244400.0,707600.0,,,,,2024-12-01,Java,,,,,,2024,12,2024-12,1415200.0,4362800.0,0.7208898706216472,False
T100040,2023-03-20,C101878,P1100,1,3893000.0,3893000.0,Mobile,CAM202,3893000.0,0.0,3893000.0,Exact,Customer 1878,Male,29,Bronze,Jakarta,Jakarta,2021-10-19,Product 100,Deposits,Standard,3845300.0,639700.0,Campaign 2,Search,2024-09-10,2025-01-19,2023-03-01,Jakarta,65198534.0,1716247122.0,226203691.0,31623152.0,423408612.0,2023,3,2023-03,639700.0,3253300.0,0.8356794246082713,True
T100041,2024-07-07,C100829,P1014,2,1480800.0,2961600.0,Branch,CAM233,2961600.0,29.0,2961600.0,Exact,Customer 829,Male,39,Silver,Surabaya,East Java,2021-09-18,Product 14,Deposits,Business,1734600.0,1550500.0,Campaign 33,Social,2024-11-27,2025-05-20,2024-07-01,Java,,,,,,2024,7,2024-07,3101000.0,1411100.0,-0.047069151809832524,True
T100042,2023-06-18,C101308,P1103,1,2693200.0,2693200.0,Call Center,CAM203,2693200.0,-4.0,2693200.0,Exact,Customer 1308,Male,41,Silver,Semarang,Central Java,2022-08-25,Product 103,Payments,Premium,2742700.0,298800.0,Campaign 3,Display,2024-09-28,2025-02-14,2023-06-01,Java,,,,,,2023,6,2023-06,298800.0,2394400.0,0.8890539135600772,True
T100043,2023-09-06,C101857,P1085,2,3327800.0,6655600.0,Mobile,No Campaign,6655600.0,72.0,6655600.0,Exact,Customer 1857,Male,58,Bronze,Bandung,West Java,2023-08-18,Product 85,Insurance,Business,2683500.0,859600.0,,,,,2023-09-01,Java,,,,,,2023,9,2023-09,1719200.0,5796000.0,0.7416912074042912,False
T100044,2023-05-01,C101916,P1067,1,2732500.0,2732500.0,Internet,CAM234,2732500.0,-24.0,2732500.0,Exact,Customer 1916,Female,50,Gold,Semarang,Central Java,2020-01-08,Product 67,Deposits,Standard,2192100.0,857700.0,Campaign 34,Social,2024-10-08,2025-03-12,2023-05-01,Java,,,,,,2023,5,2023-05,857700.0,1874800.0,0.6861116193961574,True
T100045,2024-01-22,C102353,P1044,1,2104600.0,2104600.0,Branch,CAM206,2104600.0,22.0,2104600.0,Exact,Customer 2353,Female,42,Bronze,Makassar,Sulawesi,2023-04-03,Product 44,Wealth,Standard,2244400.0,707600.0,Campaign 6,Search,2023-07-21,2023-09-04,2024-01-01,Sulawesi,207415828.0,5715169020.0,520394858.0,78883645.0,128656597.0,2024,1,2024-01,707600.0,1397000.0,0.6637840919889765,True
T100046,2024-03-14,C100013,P1113,1,251300.0,251300.0,Internet,No Campaign,251300.0,1.0,251300.0,Exact,Customer 13,Male,71,Silver,Medan,Sumatra,2023-02-27,Product 113,Wealth,Business,288600.0,1157600.0,,,,,2024-03-01,Sumatra,308738581.0,9439300674.0,651351798.0,64040023.0,443890495.0,2024,3,2024-03,1157600.0,-906300.0,-3.6064464783127734,False
T100047,2023-09-29,C100047,P1033,2,2975800.0,5951600.0,Call Center,CAM231,5951600.0,76.0,5951600.0,Exact,Customer 47,Female,73,Bronze,Pekanbaru,Sumatra,2023-08-06,Product 33,Insurance,Business,2987900.0,1319200.0,Campaign 31,Social,2024-06-04,2024-10-12,2023-09-01,Sumatra,116567644.0,3090128630.0,252036885.0,29059949.0,279173975.0,2023,9,2023-09,2638400.0,4632400.0,0.5566906378116809,True
T100048,2023-10-27,C101265,P1132,2,93500.0,187000.0,Internet,CAM219,187000.0,7.0,187000.0,Exact,Customer 1265,Male,23,Gold,Manado,Sulawesi,2023-10-23,Product 132,Loans,Standard,124000.0,248500.0,Campaign 19,Display,2024-10-26,2025-01-03,2023-10-01,Sulawesi,146866560.0,3644446151.0,181058688.0,21685103.0,120813756.0,2023,10,2023-10,497000.0,-61500.0,-1.6577540106951871,True
T100049,2024-12-21,C101909,P1130,1,4812700.0,4812700.0,Mobile,No Campaign,4812700.0,19.0,4812700.0,Exact,Customer 1909,Male,24,Bronze,Jakarta,Jakarta,2022-03-19,Product 130,Deposits,Standard,3770300.0,611700.0,,,,,2024-12-01,Jakarta,250074597.0,6593262107.0,408508115.0,52013625.0,261320155.0,2024,12,2024-12,611700.0,4201000.0,0.8728987886217716,False
T100050,2024-04-17,C101734,P1082,3,3285000.0,9855000.0,Mobile,No Campaign,9855000.0,124.0,9855000.0,Exact,Customer 1734,Male,32,Silver,Denpasar,Bali,2020-06-04,Product 82,Cards,Premium,3211300.0,1723800.0,,,,,2024-04-01,Bali,187119421.0,4416658595.0,398372406.0,63443151.0,173044112.0,2024,4,2024-04,5171400.0,8131200.0,0.4752511415525114,False
T100051,2023-06-07,C101121,P1054,3,3711000.0,11133000.0,Branch,CAM224,11133000.0,144.0,11133000.0,Exact,Customer 1121,Female,63,Silver,Bekasi,West Java,2020-04-23,Product 54,Wealth,Standard,3184800.0,696400.0,Campaign 24,Email,2023-01-23,2023-07-14,2023-06-01,Java,,,,,,2023,6,2023-06,2089200.0,10436600.0,0.8123416868768526,True
T100052,2024-09-24,C100815,P1060,2,1793500.0,3587000.0,Mobile,CAM232,3587000.0,14.0,3587000.0,Exact,Customer 815,Male,45,Bronze,Makassar,Sulawesi,2023-04-09,Product 60,Loans,Standard,2486200.0,375600.0,Campaign 32,Social,2024-03-25,2024-07-09,2024-09-01,Sulawesi,156264207.0,3971028175.0,240786217.0,33832276.0,552215236.0,2024,9,2024-09,751200.0,3211400.0,0.7905770839141344,True
T100053,2023-08-15,C101149,P1004,2,4471600.0,8943200.0,Branch,CAM217,8943200.0,78.0,8943200.0,Exact,Customer 1149,Female,48,Bronze,Makassar,Sulawesi,2022-08-16,Product 4,Cards,Premium,4110100.0,948800.0,Campaign 17,Search,2023-08-14,2023-10-01,2023-08-01,Sulawesi,153678574.0,3354946188.0,303882700.0,32653263.0,738283137.0,2023,8,2023-08,1897600.0,7994400.0,0.7878164415421773,True
T100054,2024-02-25,C102207,P1101,1,3264300.0,3264300.0,Internet,CAM223,3264300.0,-48.0,3264300.0,Exact,Customer 2207,Female,23,Gold,Tegal,Central Java,2023-01-20,Product 101,Cards,Business,3370000.0,1183400.0,Campaign 23,Email,2024-10-26,2025-02-13,2024-02-01,Java,,,,,,2024,2,2024-02,1183400.0,2080900.0,0.6374720460741966,True
T100055,2023-01-24,C101288,P1071,2,5079700.0,10159400.0,Mobile,No Campaign,10159400.0,-2.0,10159400.0,Exact,Customer 1288,Male,71,Gold,Jakarta,Jakarta,2020-02-13,Product 71,Cards,Premium,4437300.0,1193500.0,,,,,2023-01-01,Jakarta,,,,,106024583.0,2023,1,2023-01,2387000.0,8965900.0,0.7650451798334548,False
T100056,2024-06-21,C101270,P1084,1,3815000.0,3815000.0,Agent,No Campaign,3815000.0,-18.0,3815000.0,Exact,Customer 1270,Female,20,Bronze,Serang,Banten,2023-05-09,Product 84,Wealth,Business,4309100.0,599400.0,,,,,2024-06-01,Java,,,,,,2024,6,2024-06,599400.0,3215600.0,0.8428833551769331,False
T100057,2024-07-23,C102018,P1067,4,2718400.0,10873600.0,Internet,No Campaign,10873600.0,145.0,10873600.0,Exact,Customer 2018,Male,23,Bronze,Medan,Sumatra,2023-04-02,Product 67,Deposits,Standard,2192100.0,857700.0,,,,,2024-07-01,Sumatra,106308714.0,3189729102.0,198581227.0,11105531.0,364834193.0,2024,7,2024-07,3430800.0,10015900.0,0.6844835197174809,False
T100058,2024-09-29,C102232,P1147,3,706600.0,2119800.0,Internet,CAM235,2119800.0,-9.0,2119800.0,Exact,Customer 2232,Female,45,Bronze,Surakarta,Central Java,2022-03-05,Product 147,Deposits,Business,812100.0,421200.0,Campaign 35,Display,2024-09-13,2024-11-03,2024-09-01,Java,,,,,,2024,9,2024-09,1263600.0,1698600.0,0.4039060288706482,True
T100059,2024-06-23,C102514,P1119,2,942800.0,1885600.0,Call Center,No Campaign,1885600.0,-31.0,1885600.0,Exact,Customer 2514,Female,62,Bronze,Pekanbaru,Sumatra,2022-11-20,Product 119,Deposits,Business,1235200.0,505400.0,,,,,2024-06-01,Sumatra,89603027.0,2005422689.0,113386145.0,10769798.0,255344178.0,2024,6,2024-06,1010800.0,1380200.0,0.4639372083156555,False
T100060,2023-05-08,C101593,P1069,2,1821300.0,3642600.0,Mobile,CAM203,3642600.0,77.0,3642600.0,Exact,Customer 1593,Male,30,Bronze,Bekasi,West Java,2023-05-26,Product 69,Payments,Standard,1988600.0,286700.0,Campaign 3,Display,2024-09-28,2025-02-14,2023-05-01,Java,,,,,,2023,5,2023-05,573400.0,3355900.0,0.8425849667819689,True
T100061,2023-04-04,C101719,P1082,3,3302700.0,9908100.0,Branch,CAM211,9908100.0,116.0,9908100.0,Exact,Customer 1719,Male,28,Gold,Denpasar,Bali,2021-11-22,Product 82,Cards,Premium,3211300.0,1723800.0,Campaign 11,Search,2023-02-01,2023-04-15,2023-04-01,Bali,64657300.0,1637042622.0,179756378.0,29903618.0,523300638.0,2023,4,2023-04,5171400.0,8184300.0,0.47806340267054226,True
T100062,2024-12-03,C102830,P1005,3,1290600.0,3871800.0,Mobile,CAM224,3871800.0,-25.0,3871800.0,Exact,Customer 2830,Male,61,Bronze,Jakarta,Jakarta,2021-12-18,Product 5,Deposits,Standard,1709300.0,865000.0,Campaign 24,Email,2023-01-23,2023-07-14,2024-12-01,Jakarta,250074597.0,6593262107.0,408508115.0,52013625.0,261320155.0,2024,12,2024-12,2595000.0,3006800.0,0.32976909964357665,True
T100063,2024-02-25,C102678,P1054,2,4024200.0,8048400.0,Mobile,CAM218,8048400.0,-56.0,8048400.0,Exact,Customer 2678,Male,54,Silver,Pontianak,Kalimantan,2023-05-22,Product 54,Wealth,Standard,3184800.0,696400.0,Campaign 18,Display,2023-09-29,2023-12-31,2024-02-01,Kalimantan,350601763.0,7041011990.0,611984791.0,66687031.0,195894305.0,2024,2,2024-02,1392800.0,7352000.0,0.8269469708264997,True
T100064,2023-09-29,C100734,P1087,4,2632100.0,10528400.0,Mobile,CAM218,10528400.0,-176.0,10528400.0,Exact,Customer 734,Male,65,Bronze,Tegal,Central Java,2020-12-26,Product 87,Cards,Premium,3030200.0,379500.0,Campaign 18,Display,2023-09-29,2023-12-31,2023-09-01,Java,,,,,,2023,9,2023-09,1518000.0,10148900.0,0.8558185479275103,True
T100065,2024-04-28,C101906,P1060,2,3100800.0,6201600.0,Internet,No Campaign,6201600.0,10.0,6201600.0,Exact,Customer 1906,Female,51,Bronze,Medan,Sumatra,2023-08-28,Product 60,Loans,Standard,2486200.0,375600.0,,,,,2024-04-01,Sumatra,219071450.0,7562816852.0,496738603.0,66256998.0,750229059.0,2024,4,2024-04,751200.0,5826000.0,0.8788699690402477,False
T100066,2023-01-05,C101262,P1132,2,152100.0,304200.0,Branch,CAM229,304200.0,77.0,304200.0,Exact,Customer 1262,Male,39,Silver,Jakarta,Jakarta,2022-09-08,Product 132,Loans,Standard,124000.0,248500.0,Campaign 29,Affiliate,2024-01-08,2024-04-26,2023-01-01,Jakarta,,,,,106024583.0,2023,1,2023-01,497000.0,55700.0,-0.63379355687048,True
T100067,2023-06-06,C100557,P1067,1,2261500.0,2261500.0,Mobile,CAM219,2261500.0,-41.0,2261500.0,Exact,Customer 557,Male,26,Silver,Jakarta,Jakarta,2022-01-24,Product 67,Deposits,Standard,2192100.0,857700.0,Campaign 19,Display,2024-10-26,2025-01-03,2023-06-01,Jakarta,146157206.0,3890206227.0,269503979.0,25940515.0,284465844.0,2023,6,2023-06,857700.0,1403800.0,0.620738447932788,True
