transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,amount,channel,campaign_id,city,province
T100084,2024-10-29,C100886,P1090,4,3683100.0,14732302,Agent,CAM224,Bandung,West Java
T100085,2024-04-21,C101919,P1119,2,1384800.0,2769503,Mobile,CAM202,Surakarta,Central Java
T100086,2023-01-25,C100858,P1094,3,4708100.0,14124345,Branch,CAM229,Bekasi,West Java
T100087,2024-03-06,C102800,P1087,4,3776600.0,15106343,Internet,CAM225,Jakarta,Jakarta
T100088,2023-10-05,C101139,P1064,3,3390700.0,10172206,Agent,,Denpasar,Bali
T100089,2023-11-13,C101774,P1103,2,2126200.0,4252401,Mobile,,Jakarta,Jakarta
T100090,2024-09-29,C101034,P1142,3,942700.0,2828131,Internet,CAM213,Surabaya,East Java
T100091,2023-12-24,C102946,P1023,1,88300.0,88323,Mobile,CAM233,Tegal,Central Java
T100092,2023-10-03,C100166,P1116,3,3869500.0,11608592,Mobile,CAM225,Cimahi,West Java
T100093,2024-11-20,C102009,P1010,3,1256000.0,3767895,Agent,CAM228,Bogor,West Java
T100094,2023-12-10,C102610,P1106,2,490700.0,981490,Mobile,CAM212,Jakarta,Jakarta
T100095,2024-03-06,C101823,P1111,1,3182600.0,3182639,CallCenter,CAM233,Serang,Banten
T100096,2024-07-12,C101971,P1049,5,3098900.0,15494267,Internet,,Tegal,Central Java
T100097,2024-12-12,C100327,P1029,1,1030200.0,1030206,Mobile,CAM220,Banjarmasin,Kalimantan
T100098,2024-07-16,C101070,P1017,6,4293900.0,25763675,Mobile,,Medan,Sumatra
T100099,2024-03-14,C101401,P1110,2,4978800.0,9957654,Mobile,CAM232,Tangerang,Banten
T100100,2024-04-06,C101858,P1105,1,4503200.0,4503246,Mobile,CAM223,Bekasi,West Java
T100101,2023-09-27,C100820,P1130,2,4755800.0,9511573,Branch,CAM211,Denpasar,Bali
T100102,2024-12-09,C100398,P1065,1,187400.0,187427,Mobile,CAM222,Pekanbaru,Sumatra
T100103,2024-03-06,C100436,P1010,3,789900.0,2369696,Agent,CAM235,Semarang,Central Java
T100104,2023-01-21,C102857,P1119,2,906500.0,1812941,Internet,CAM236,Serang,Banten
T100105,2023-05-23,C100796,P1084,1,3557000.0,3557024,Mobile,CAM209,Tangerang,Banten
T100106,2023-12-19,C101070,P1022,2,2774700.0,5549339,Mobile,,Medan,Sumatra
T100107,2024-04-09,C102778,P1064,3,4011000.0,12033090,Mobile,,Yogyakarta,Yogyakarta
T100108,2024-04-12,C102845,P1051,3,737700.0,2212966,Mobile,,Medan,Sumatra
T100109,2024-05-27,C102682,P1006,1,464700.0,464727,Mobile,CAM231,Jakarta,Jakarta
T100110,2024-04-08,C100525,P1110,2,4040800.0,8081697,Agent,CAM207,Semarang,Central Java
T100111,2024-01-29,C100488,P1080,2,940200.0,1880342,Mobile,CAM201,Denpasar,Bali
T100112,2023-02-27,C101788,P1143,4,399600.0,1598494,Internet,,Yogyakarta,Yogyakarta
T100113,2023-05-06,C102552,P1050,2,3058800.0,6117677,Mobile,,Surabaya,East Java
T100114,2024-04-05,C100749,P1075,2,1198100.0,2396166,Mobile,CAM238,Malang,East Java
T100115,2023-02-21,C101390,P1051,2,587800.0,1175528,Branch,,Medan,Sumatra
T100116,2023-09-26,C101338,P1085,2,2770300.0,5540661,Branch,,Manado,Sulawesi
T100117,2023-04-06,C101133,P1006,2,409300.0,818564,Internet,,Palembang,Sumatra
T100118,2023-09-30,C102921,P1128,1,3463400.0,21305403,Branch,CAM230,Pekanbaru,Sumatra
T100119,2023-11-19,C101599,P1011,1,3219700.0,3219737,Branch,,Banjarmasin,Kalimantan
T100120,2024-07-26,C100555,P1096,3,4544600.0,13633895,CallCenter,CAM217,Medan,Sumatra
T100121,2024-11-23,C102035,P1014,1,1242100.0,1242107,Agent,,Jakarta,Jakarta
T100122,2023-05-13,C102456,P1026,1,508200.0,508240,Branch,,Madiun,East Java
T100123,2023-03-30,C100238,P1078,1,6225400.0,6225407,Agent,CAM203,Bandung,West Java
T100124,2024-11-15,C100316,P1048,2,4710800.0,9421636,Internet,,Cimahi,West Java
T100125,2023-01-05,C100769,P1124,3,2935100.0,8805352,Internet,CAM201,Jakarta,Jakarta
T100126,2023-12-23,C102126,P1050,2,2088300.0,4176584,Mobile,,Surabaya,East Java
T100127,2023-12-09,C102522,P1056,2,85600.0,171270,Mobile,,Denpasar,Bali
T100128,2023-07-23,C100329,P1107,4,4468500.0,17874023,CallCenter,,Jakarta,Jakarta
T100129,2024-11-04,C102557,P1049,1,3287300.0,3287283,Agent,CAM235,Jakarta,Jakarta
T100130,2024-07-26,C100776,P1032,3,4350300.0,13050862,Mobile,CAM200,Surabaya,East Java
T100131,2024-04-15,C101724,P1074,2,2808100.0,5616163,Mobile,CAM215,Yogyakarta,Yogyakarta
T100132,2024-04-08,C100919,P1025,3,698800.0,2096294,Internet,,Malang,East Java
T100133,2024-05-11,C102213,P1115,2,5981500.0,11962912,Internet,CAM229,Palembang,Sumatra
T100134,2024-12-02,C101733,P1120,1,1250500.0,1250522,Agent,,Jakarta,Jakarta
T100135,2023-03-04,C102948,P1120,1,1067900.0,1067859,Mobile,,Palembang,Sumatra
T100136,2024-07-09,C102284,P1100,1,4468100.0,4468066,Internet,CAM220,Madiun,East Java
T100137,2023-08-27,C101693,P1036,1,2533400.0,2533439,Agent,,Pontianak,Kalimantan
T100138,2024-06-23,C102518,P1079,1,1125200.0,1125184,Internet,CAM236,Medan,Sumatra
T100139,2023-07-17,C100134,P1011,2,4224500.0,8449060,Mobile,,Jakarta,Jakarta
T100140,2024-11-13,C100946,P1046,1,3197900.0,3197895,Internet,,Madiun,East Java
T100141,2023-01-30,C100159,P1028,2,6358600.0,12717254,Mobile,CAM214,Jakarta,Jakarta
T100142,2024-10-27,C102666,P1005,1,1400500.0,1400463,Agent,,Palembang,Sumatra
T100143,2023-07-28,C100841,P1117,2,3153300.0,6306532,Agent,,Medan,Sumatra
T100144,2023-03-04,C102802,P1009,3,2103500.0,6310625,Mobile,CAM225,Tangerang,Banten
T100145,2023-02-26,C102802,P1129,2,4456500.0,8912934,Mobile,CAM232,Tangerang,Banten
T100146,2024-12-20,C101124,P1081,2,3205700.0,6411320,Mobile,,Pekanbaru,Sumatra
T100147,2024-03-08,C101248,P1048,3,4083500.0,12250372,Agent,CAM220,Makassar,Sulawesi
T100148,2023-11-04,C100554,P1143,3,294600.0,883873,Mobile,CAM206,Tegal,Central Java
T100149,2024-07-28,C101388,P1141,3,3162600.0,9487819,Mobile,CAM228,Bandung,West Java
T100150,2024-04-10,C101341,P1002,1,94900.0,94860,Internet,,Manado,Sulawesi
T100151,2024-10-14,C100414,P1007,3,4629500.0,13888407,Internet,CAM222,Semarang,Central Java
T100152,2024-08-27,C101046,P1102,2,312200.0,624413,CallCenter,,Tangerang,Banten
T100153,2023-04-17,C100839,P1036,2,2579200.0,5158435,CallCenter,,Denpasar,Bali
T100154,2024-08-22,C101206,P1082,3,3589800.0,10769437,Agent,CAM213,Palembang,Sumatra
T100155,2023-10-28,C100655,P1110,2,4466600.0,34397215,Mobile,,Surakarta,Central Java
T100156,2024-09-11,C101655,P1117,3,2998200.0,8994539,Internet,CAM202,Bogor,West Java
T100157,2023-02-15,C100776,P1065,4,186700.0,746687,Mobile,,Surabaya,East Java
T100158,2023-03-18,C101795,P1036,2,2429500.0,4858973,CallCenter,CAM210,Denpasar,Bali
T100159,2024-12-29,C100978,P1002,1,125200.0,125228,Branch,CAM214,Cimahi,West Java
T100160,2023-06-18,C100550,P1097,3,3514900.0,10544649,Mobile,CAM224,Surabaya,East Java
T100161,2023-05-09,C100299,P1097,3,2533800.0,7601501,Mobile,CAM230,Cimahi,West Java
T100162,2024-12-13,C101320,P1126,4,2641500.0,10566052,Branch,,Cimahi,West Java
T100163,2024-12-08,C101292,P1107,2,3800400.0,7600839,Mobile,CAM220,Medan,Sumatra
T100164,2023-09-25,C100587,P1036,4,2637900.0,10551601,Mobile,,Cimahi,West Java
T100165,2024-08-22,C101303,P1111,2,2703100.0,5406129,Mobile,,Denpasar,Bali
T100166,2024-08-07,C102095,P1122,2,1193700.0,2387459,Mobile,CAM227,Tegal,Central Java
T100167,2024-02-23,C100204,P1044,1,1578600.0,1578555,Agent,,Surakarta,Central Java
T100168,2023-06-10,C102658,P1063,1,1906500.0,1906520,Internet,CAM223,Tangerang,Banten
T100169,2023-02-27,C100421,P1059,4,1210500.0,4842005,Mobile,,Jakarta,Jakarta
T100170,2024-01-19,C100973,P1146,2,1279500.0,2559067,Branch,CAM213,Madiun,East Java
T100171,2024-05-24,C101985,P1041,3,2878500.0,8635545,Mobile,CAM229,Surabaya,East Java
T100172,2024-03-05,C101973,P1100,3,3495100.0,10485438,Branch,CAM236,Tegal,Central Java
T100173,2023-12-06,C102367,P1014,1,1442000.0,1442007,Mobile,,Denpasar,Bali
T100174,2024-07-31,C100947,P1050,2,2335400.0,4670817,Branch,CAM239,Jakarta,Jakarta
T100175,2023-01-26,C101703,P1081,2,3006300.0,6012644,Branch,CAM214,Surakarta,Central Java
T100176,2024-08-11,C102137,P1124,2,3694800.0,7389695,Branch,CAM228,Denpasar,Bali
T100177,2024-01-07,C100549,P1034,2,1196300.0,2392664,Mobile,,Semarang,Central Java
T100178,2023-02-05,C101794,P1059,2,770600.0,1541299,Mobile,,Pontianak,Kalimantan
T100179,2024-06-14,C101793,P1102,4,372100.0,1488308,Agent,,Denpasar,Bali
T100180,2023-09-24,C102005,P1010,2,1049700.0,2099408,Mobile,,Bogor,West Java
T100181,2024-03-07,C101282,P1134,4,1069500.0,4277994,Mobile,CAM235,Surakarta,Central Java
T100182,2023-01-19,C101639,P1045,2,239500.0,478935,Mobile,,Madiun,East Java
T100183,2023-12-05,C101710,P1004,2,4082100.0,8164165,Mobile,,Surakarta,Central Java
T100184,2023-05-20,C101641,P1065,1,252800.0,252768,Internet,CAM236,Surabaya,East Java
T100185,2023-03-08,C102158,P1044,3,2082600.0,6247770,Branch,CAM230,Manado,Sulawesi
T100186,2024-06-13,C101562,P1000,1,6178000.0,6178006,Mobile,CAM233,Bogor,West Java
T100187,2024-01-04,C101982,P1126,2,4079400.0,8158787,Mobile,CAM226,Manado,Sulawesi
T100188,2023-09-18,C100683,P1146,2,940700.0,1881455,Internet,,Denpasar,Bali
T100189,2024-09-15,C100022,P1054,2,4131100.0,8262266,Agent,,Madiun,East Java
T100190,2024-09-18,C101669,P1112,3,2482300.0,7446950,Mobile,CAM215,Surabaya,East Java
T100191,2024-11-08,C101432,P1015,4,3815800.0,15263191,Internet,CAM209,Denpasar,Bali
T100192,2024-08-01,C102618,P1013,3,819600.0,2458946,Mobile,,Makassar,Sulawesi
T100193,2024-08-04,C102488,P1005,1,2067700.0,2067698,Mobile,,Jakarta,Jakarta
T100194,2023-07-22,C101791,P1003,1,994000.0,994002,Mobile,,Malang,East Java
T100195,2024-09-30,C101935,P1068,3,2092700.0,6278054,CallCenter,,Jakarta,Jakarta
T100196,2024-02-14,C101817,P1034,4,757900.0,3031643,Agent,CAM206,Jakarta,Jakarta
T100197,2023-03-21,C101358,P1136,2,4773700.0,9547460,Branch,CAM215,Cimahi,West Java
T100198,2024-11-18,C100686,P1044,3,1998400.0,5995167,Mobile,CAM212,Surabaya,East Java
T100199,2023-04-23,C101170,P1081,3,1977600.0,5932935,Agent,,Jakarta,Jakarta
T100200,2024-09-14,C100461,P1101,3,2922100.0,8766255,Internet,CAM224,Bandung,West Java
T100201,2023-05-17,C100628,P1059,2,966100.0,1932101,Mobile,CAM201,Bekasi,West Java
T100202,2024-10-06,C100751,P1031,2,1175100.0,2350288,Mobile,CAM223,Jakarta,Jakarta
T100203,2023-07-08,C100665,P1098,3,3274000.0,9822044,Branch,,Surakarta,Central Java
T100204,2023-10-04,C100307,P1083,3,718200.0,2154710,Branch,,Bandung,West Java
T100205,2023-04-13,C102468,P1030,1,2711400.0,2711366,Mobile,CAM213,Yogyakarta,Yogyakarta
T100206,2023-04-17,C101868,P1090,3,4177800.0,12533420,Mobile,CAM229,Yogyakarta,Yogyakarta
T100207,2024-07-28,C100302,P1060,2,2166400.0,4332764,CallCenter,,Jakarta,Jakarta
T100208,2023-06-22,C100711,P1144,5,2287900.0,11439547,Mobile,,Jakarta,Jakarta
T100209,2023-11-27,C100525,P1142,2,1001000.0,2002082,Branch,,Semarang,Central Java
T100210,2024-12-22,C100046,P1139,2,5738200.0,11476350,Internet,,Madiun,East Java
T100211,2023-07-10,C100759,P1010,1,990600.0,990620,Internet,CAM225,Madiun,East Java
T100212,2024-10-31,C100605,P1105,5,4445200.0,22225964,Branch,,Jakarta,Jakarta
T100213,2023-08-13,C102546,P1071,1,4000200.0,4000220,Mobile,,Bogor,West Java
T100214,2024-11-14,C100105,P1066,2,986200.0,1972496,CallCenter,,Jakarta,Jakarta
T100215,2023-11-19,C100739,P1115,1,5792500.0,5792476,Internet,CAM228,Cimahi,West Java
T100216,2024-05-22,C100906,P1024,5,3340000.0,16700217,Mobile,,Bandung,West Java
T100217,2024-07-01,C102817,P1037,4,780900.0,3123497,Agent,,Medan,Sumatra
T100218,2023-05-14,C102205,P1104,2,2045300.0,4090669,CallCenter,CAM203,Yogyakarta,Yogyakarta
T100219,2023-02-06,C102418,P1095,1,5295300.0,5295339,Mobile,CAM215,Denpasar,Bali
T100220,2023-04-03,C100791,P1021,3,3700000.0,11100025,Branch,CAM213,Malang,East Java
T100221,2023-03-16,C102043,P1142,2,973100.0,1946157,Mobile,,Pekanbaru,Sumatra
T100222,2023-07-02,C102292,P1044,3,1873600.0,5620691,Branch,,Makassar,Sulawesi
T100223,2024-12-17,C101558,P1108,2,670700.0,1341306,Internet,,Jakarta,Jakarta
T100224,2024-04-03,C102164,P1040,2,1693300.0,3386659,Mobile,,Palembang,Sumatra
T100225,2024-11-29,C100069,P1133,1,229800.0,229769,Mobile,,Bandung,West Java
T100226,2024-11-08,C102925,P1049,1,2840200.0,2840181,Branch,,Tegal,Central Java
T100227,2024-09-18,C101098,P1112,2,1889700.0,3779432,Mobile,,Cimahi,West Java
T100228,2024-02-13,C100134,P1041,3,3876700.0,11629996,Mobile,CAM216,Jakarta,Jakarta
T100229,2023-07-26,C100736,P1125,1,2110100.0,2110147,CallCenter,,Jakarta,Jakarta
T100230,2023-09-02,C102937,P1096,2,4299400.0,8598806,Mobile,,Serang,Banten
T100231,2023-11-29,C100137,P1077,1,3355400.0,3355365,Internet,CAM206,Serang,Banten
T100232,2024-11-03,C101876,P1135,2,3127200.0,6254320,Internet,CAM235,Pontianak,Kalimantan
T100233,2024-06-08,C102760,P1081,1,3279900.0,3279944,Internet,CAM205,Bandung,West Java
T100234,2023-10-21,C101437,P1136,2,4944900.0,9889815,Mobile,CAM230,Jakarta,Jakarta
T100235,2023-09-30,C101455,P1120,2,697100.0,1394181,Agent,,Malang,East Java
T100236,2024-01-14,C102287,P1026,4,673400.0,2693576,CallCenter,CAM209,Bogor,West Java
T100237,2024-09-17,C102584,P1101,2,3743000.0,7486051,Internet,,Jakarta,Jakarta
T100238,2024-10-25,C100216,P1125,5,1878100.0,9390312,Branch,CAM223,Denpasar,Bali
T100239,2023-01-26,C102928,P1137,2,5565400.0,11130802,Internet,CAM215,Jakarta,Jakarta
T100240,2024-11-10,C102554,P1110,3,4727800.0,14183478,Mobile,,Cimahi,West Java
T100241,2024-06-27,C102465,P1132,1,150000.0,150038,Branch,CAM205,Bogor,West Java
T100242,2024-12-18,C100386,P1077,2,5016600.0,10033135,Internet,CAM214,Malang,East Java
T100243,2024-09-01,C101157,P1078,2,3976100.0,7952284,Mobile,CAM232,Pekanbaru,Sumatra
T100244,2023-04-01,C101338,P1072,1,913600.0,5161132,Mobile,,Manado,Sulawesi
T100245,2024-04-20,C100922,P1071,4,3143400.0,12573477,Mobile,CAM205,Bekasi,West Java
T100246,2024-12-26,C100594,P1107,1,3822600.0,3822610,Internet,CAM238,Pekanbaru,Sumatra
T100247,2023-07-07,C102887,P1140,1,1198500.0,1198451,Mobile,CAM207,Manado,Sulawesi
T100248,2024-07-22,C100035,P1070,3,3706500.0,11119617,Branch,CAM222,Madiun,East Java
T100249,2024-09-10,C100828,P1148,1,4645600.0,4645553,Mobile,,Surabaya,East Java
T100250,2023-07-14,C101766,P1144,1,1904800.0,1904784,Mobile,CAM210,Semarang,Central Java
T100251,2024-06-17,C101635,P1052,5,1402600.0,7013017,Mobile,CAM234,Jakarta,Jakarta
T100252,2024-11-28,C100710,P1001,2,4730200.0,9460424,Internet,CAM225,Surabaya,East Java
T100253,2023-03-26,C102039,P1135,2,3146600.0,6293110,Mobile,CAM200,Tangerang,Banten
T100254,2024-08-14,C102729,P1049,5,3562400.0,17812058,Internet,,Cimahi,West Java
T100255,2023-03-18,C101165,P1128,1,3442400.0,3442385,Mobile,CAM209,Palembang,Sumatra
T100256,2023-11-26,C102295,P1116,3,5824200.0,17472699,Mobile,CAM210,Cimahi,West Java
T100257,2024-01-18,C102368,P1093,3,4714300.0,14143014,Mobile,,Cimahi,West Java
T100258,2024-03-08,C101547,P1044,2,2899200.0,5798413,Mobile,,Banjarmasin,Kalimantan
T100259,2024-01-12,C100722,P1031,2,1963300.0,3926629,Internet,,Bandung,West Java
T100260,2023-12-07,C102829,P1061,1,1864700.0,1864727,Branch,,Jakarta,Jakarta
T100261,2023-06-26,C102674,P1094,2,6110600.0,12221156,Mobile,CAM213,Jakarta,Jakarta
T100262,2024-03-01,C101484,P1067,4,2658000.0,10632045,Branch,CAM237,Surabaya,East Java
T100263,2024-02-28,C102032,P1142,1,720100.0,720075,Internet,,Makassar,Sulawesi
T100264,2023-06-23,C100322,P1119,2,1021700.0,2043337,Mobile,CAM233,Jakarta,Jakarta
T100265,2024-02-10,C100929,P1113,2,235100.0,470222,Agent,CAM210,Palembang,Sumatra
T100266,2023-03-23,C101836,P1077,2,3234600.0,6469237,Mobile,CAM201,Medan,Sumatra
T100267,2023-01-21,C101160,P1017,2,5336900.0,10673778,Internet,CAM202,Jakarta,Jakarta
T100268,2024-11-21,C101417,P1138,3,152800.0,458451,Branch,CAM217,Denpasar,Bali
T100269,2024-02-02,C102951,P1079,2,687700.0,1375486,Internet,CAM213,Bekasi,West Java
T100270,2023-11-26,C101692,P1142,2,957100.0,1914218,Mobile,CAM231,Medan,Sumatra
T100271,2023-08-13,C102108,P1138,2,178100.0,356268,Agent,CAM213,Denpasar,Bali
T100272,2024-02-06,C101973,P1067,3,2014100.0,6042338,CallCenter,CAM212,Tegal,Central Java
T100273,2024-03-13,C102982,P1062,3,1663800.0,4991527,Mobile,,Tegal,Central Java
T100274,2023-09-29,C101824,P1123,3,922400.0,2767141,Mobile,,Jakarta,Jakarta
T100275,2023-10-07,C102966,P1142,3,698700.0,2096128,Internet,CAM227,Pekanbaru,Sumatra
T100276,2023-08-11,C102375,P1105,1,3476100.0,3476109,Branch,,Denpasar,Bali
T100277,2024-08-09,C102942,P1076,4,3655100.0,14620591,Mobile,CAM239,Jakarta,Jakarta
T100278,2024-10-24,C102215,P1085,3,2312500.0,6937437,Agent,CAM207,Cimahi,West Java
T100279,2024-05-23,C102405,P1111,1,3370900.0,3370910,Mobile,,Madiun,East Java
T100280,2023-12-08,C101558,P1103,2,2393100.0,4786119,Mobile,CAM227,Jakarta,Jakarta
